                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                  1.267,                 1.1705,                 1.2904,                 1.2533,                 2.1911,                 1.2628,                0.66603,                0.56176,                0.65156,                0.38819,                 1.2823,                  1.529,                 1.3336,                 1.2896,                 3.9419,                 1.3116,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.1898,                 1.1346,                 1.2799,                 1.1803,                 2.2054,                 1.2417,                0.66956,                0.58312,                0.66712,                0.41268,                 1.2749,                 1.4609,                 1.3342,                 1.2841,                 3.8114,                  1.293,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.2333,                  1.123,                 1.3154,                 1.2496,                   2.35,                 1.2683,                 0.7076,                0.56262,                0.67705,                0.40741,                 1.2668,                 1.5696,                 1.3292,                 1.2463,                 3.8006,                 1.3033,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1748,                  1.194,                 1.3025,                  1.202,                 2.7823,                 1.2772,                0.69704,                0.50569,                0.63387,                0.39484,                 1.2169,                 1.6288,                 1.2628,                  1.215,                 3.7835,                 1.2236,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.1851,                   1.12,                 1.2762,                 1.2106,                 2.5285,                 1.2675,                0.69097,                0.52386,                 0.6724,                0.45271,                 1.1223,                 1.5948,                 1.1921,                 1.1079,                 3.6374,                 1.1282,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1234,                 1.0913,                 1.2689,                  1.117,                 2.6341,                 1.2315,                 0.7324,                0.57849,                0.71314,                0.48705,                 1.1206,                 1.4935,                 1.1817,                 1.0889,                 3.4545,                 1.1424,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.0916,                 1.0448,                 1.2223,                 1.0846,                 2.4569,                 1.1997,                 0.7711,                0.59369,                0.71066,                0.47294,                 1.1364,                 1.4323,                 1.1894,                 1.1191,                 3.2966,                 1.1454,             0.00024064,             0.00024064,             0.00024064
                     45,                0.99793,                  1.017,                 1.1651,                 1.0152,                 2.5526,                 1.1448,                0.70216,                0.64505,                0.74044,                0.51514,                 1.0671,                 1.2802,                 1.1278,                  1.066,                 3.0888,                 1.1018,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0421,                 1.0767,                 1.2267,                 1.0861,                  2.563,                  1.248,                0.63757,                0.64135,                0.73922,                0.53711,                 1.0192,                 1.2301,                  1.124,                 1.0636,                 2.9861,                 1.1037,             0.00018406,             0.00018406,             0.00018406
                     47,                0.93362,                 1.0143,                 1.1531,                0.97621,                 2.5765,                 1.1414,                0.63509,                0.64975,                0.74116,                0.53409,                 1.0456,                 1.2231,                 1.1382,                 1.0652,                 2.9773,                 1.1326,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0099,                 1.0317,                 1.2176,                  1.076,                 2.6028,                 1.2346,                0.65443,                0.63763,                0.75472,                0.55654,                0.98918,                 1.1828,                 1.1028,                0.99497,                 2.9233,                 1.0914,             0.00012747,             0.00012747,             0.00012747
                     49,                0.88624,                0.91168,                 1.1226,                0.95882,                 2.2873,                 1.1343,                0.66262,                0.66522,                0.76179,                0.56314,                0.95936,                 1.1291,                 1.0842,                0.98508,                 2.8495,                 1.0811,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.88623,                0.95042,                 1.1395,                0.94718,                 2.4806,                 1.1416,                0.66558,                0.70148,                0.76357,                0.55813,                   0.94,                 1.0784,                 1.0731,                0.98096,                 2.7768,                 1.0849,             7.0878e-05,             7.0878e-05,             7.0878e-05
